id,name,name_length,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price
834,Cabbage,7,127,134,1852,1980,0,20
837,Salad,5,519,550,1854,2001,0,75
838,Cucumber,8,326,360,1887,2928,0,50
842,Semolina Pudding,16,17,17,1900,1938,,
844,Liver,5,21,21,1892,1971,0,0.35
845,Goulash,7,10,10,1899,1943,0,0
854,Steak,5,32,34,1884,1961,0,30
855,Coffee and Tea,14,11,11,1900,1976,,
856,Wiener Schnitzel,16,88,95,1899,1992,0,4
865,Pickled Mackerel,16,6,6,1892,1939,0,0
866,Corned Beef and Cabbage,23,256,260,1856,1961,0.1,85
867,Oyster Patties,14,174,179,1865,1938,0.1,50
872,Cauliflower,11,886,942,1865,1987,0,70
873,String Beans,12,1489,1571,1858,2928,0,60
878,Blackberry Pie,14,118,121,1854,1958,0.05,5
880,Italian Cream,13,22,22,1864,1948,0,0
882,Crackers and Cheese,19,104,107,1881,1946,0,0.15
888,Chicken Livers on Toast,23,5,5,1900,1965,0.25,1.6
892,Stewed rhubarb,14,246,264,1889,1973,0,35
894,Fried Potatoes,14,566,580,1856,1987,0,15
896,Stewed French prunes,20,27,27,1892,1943,0.1,5
899,Sliced bananas with cream,25,118,122,1900,1961,0,10
900,Hot corn muffins,16,10,10,1900,1946,0,0
904,Buttered toast,14,511,525,1856,1969,0,15
907,Milk toast,10,675,690,1856,1965,0,30
909,Cream toast,11,485,494,1865,1961,0,30
910,Boston cream toast,18,11,11,1900,1945,0,0
911,Cotuits,7,300,345,1900,2928,0,45
915,Tomatoes,8,454,460,1858,1987,0,15
919,Roast Turkey,12,247,251,1851,1963,0,3.55
920,Baked Potatoes,14,1294,1327,1859,2012,0,20
928,Gekochter Reis,14,64,64,1900,1935,,
929,Corned beef hash browned,24,37,37,1898,1921,0.15,1
930,Sardellen,9,188,217,1896,1961,0,15
938,Leberwurst,10,186,187,1899,1965,0,0.5
944,Radieschen,10,223,226,1899,1969,0,0
947,Sardelles,9,80,80,1897,1939,0.3,0.65
948,Fried Tom Cod,13,12,12,1900,1918,0.3,0.3
950,Pickled Herrings,16,65,66,1899,1950,0.4,0.4
951,Eel in Jelly,12,89,89,1899,1954,0,0
955,Smoked beef,11,244,247,1888,1965,0.2,0.5
965,Plum Tart,9,13,13,1900,1985,0.1,6
967,Oysters a la Poulette,21,112,113,1881,1957,0.3,50
968,Vermicelli Pudding,18,29,29,1900,1933,0.2,25
973,Sausages,8,60,61,1853,1967,0,3.25
974,Madeira Cake,12,2,2,1900,1973,0,0
977,Rock and Rye,12,33,33,1900,1965,0.1,2
979,Old Crow Whiskey,16,23,23,1884,1918,0.1,2.5
981,Mount Vernon Whiskey,20,19,19,1900,1950,0.1,2.5
983,Applejack,9,8,8,1900,1969,0.3,0.6
985,Hominy Fritters,15,25,26,1893,1969,0.2,0.2
988,Old Tom Gin,11,155,156,1873,1941,0,150
989,Raspberries,11,182,235,1865,1941,0,35
